"Wage","Education","Experience"
1163.34,14,27
241.55,17,13
759.73,12,17
1128.75,12,34
757.58,16,7
180.04,12,2
607.05,7,41
427.35,14,16
308.64,14,-1
2029.91,14,18
900.21,14,19
735.99,12,20
546.06,16,2
403.61,11,27
688.51,12,11
237.42,18,15
712.25,12,5
385.8,11,2
1210.83,12,16
1495.73,18,20
94.97,8,14
467.71,12,12
1187.08,16,33
422.6,14,17
997.15,14,16
949.67,16,38
1234.57,15,4
712.25,12,6
937.1,12,23
534.19,16,3
641.03,14,13
593.54,14,11
890.41,12,32
536.89,12,42
593.54,8,32
370.37,12,25
344.25,14,1
237.42,12,4
593.54,14,16
280.15,12,31
973.41,12,44
1127.73,17,15
1163.34,12,17
735.99,16,18
332.38,12,3
556.77,10,43
259.26,9,11
274.35,10,8
296.3,10,41
641.03,12,12
712.25,16,16
407.31,8,45
222.22,10,25
130.58,8,38
284.9,8,46
399.42,12,23
315.74,12,3
688.51,12,12
379.87,16,9
580.97,16,-1
419.75,18,41
427.35,12,12
712.25,12,12
448.72,16,20
997.15,14,13
874.49,16,16
686.73,10,17
166.19,9,8
1234.57,14,16
451.09,12,15
493.83,12,16
401.23,12,8
500.95,14,24
617.28,12,12
293.21,12,2
3600.82,18,27
474.83,16,4
471.79,12,4
1816.24,16,30
1448.24,13,32
356.13,12,1
474.83,12,4
925.93,6,33
522.32,18,32
517.19,12,26
712.25,9,16
776.64,12,21
854.7,12,13
584.05,12,14
657.64,12,34
174.85,12,0
819.09,17,3
522.32,12,15
811.32,12,17
427.35,17,2
783.48,17,14
451.09,15,19
1044.63,12,26
1139.6,18,13
206.55,12,0
1115.86,18,26
458.55,16,10
628.82,13,17
524.69,12,22
707.5,12,24
474.83,12,14
830.96,16,16
688.51,16,3
352.73,12,16
783.48,14,27
854.7,12,4
498.58,10,37
1270.18,16,22
745.01,18,21
627.57,15,-1
356.13,12,13
314.69,18,11
385.3,8,47
166.19,11,17
641.03,16,15
436.59,14,8
222.22,12,48
997.15,12,31
474.83,11,14
451.09,12,17
712.25,12,9
366.74,13,15
336.7,14,19
213.58,12,48
394.11,12,6
712.25,13,13
902.18,12,17
1358.02,14,36
461.49,12,4
636.02,12,40
510.45,15,19
510.45,14,5
276.95,14,19
666.67,12,22
712.25,16,18
766.86,18,15
474.83,12,10
427.35,12,27
410.49,9,38
493.83,8,32
942.55,18,27
522.32,16,14
522.32,12,10
338.9,12,2
1899.34,16,29
997.63,16,11
617.28,12,17
925.93,12,41
854.7,12,40
617.28,16,-1
754.99,12,17
427.35,18,19
497.01,18,12
439.22,12,17
1305.79,12,28
593.54,12,9
394.11,16,8
365.73,13,21
724.51,18,19
496.01,8,33
90.22,12,43
441.36,14,25
973.41,12,22
712.25,14,10
182.5,13,18
740.74,17,15
411.7,12,19
178.06,16,3
107.19,16,3
498.58,12,34
356.13,14,8
641.03,16,17
2374.15,16,8
216.05,15,17
1020.29,18,2
261.16,16,3
712.25,18,14
522.32,10,26
546.06,16,37
617.28,18,16
474.83,11,15
498.58,18,21
498.58,14,4
439.22,14,2
498.58,12,31
308.64,12,6
474.83,12,4
498.58,14,6
498.58,14,5
432.1,18,10
1495.73,16,32
302.34,14,2
1152.8,18,2
1068.38,12,5
395.47,12,15
345.68,12,8
1044.63,17,32
427.35,12,15
648.72,18,26
444.44,18,23
569.8,9,43
403.61,10,31
356.13,12,28
244.94,12,5
237.42,12,6
545.47,12,27
284.9,12,18
617.28,12,15
914.06,18,11
356.13,18,10
712.25,12,11
712.25,12,12
664.77,9,32
997.15,16,9
281.8,16,15
346.21,7,27
356.13,12,10
213.68,12,29
403.61,7,38
712.25,16,3
646.33,15,33
546.06,12,23
462.96,11,4
186.89,11,20
284.9,10,42
543.54,12,11
213.24,14,21
617.28,12,3
2541.76,12,27
652.9,12,22
593.54,12,7
664.77,12,12
914.06,14,12
641.03,10,44
308.64,12,4
515.33,12,42
474.68,11,6
2184.24,14,21
252.3,8,24
379.87,16,13
709.22,18,28
759.73,16,33
474.83,18,28
555.56,16,38
830.96,16,30
569.8,15,0
1187.08,18,43
339.27,10,37
498.58,12,8
200.83,9,12
320.22,12,14
278.42,12,5
493.83,16,0
705.13,18,4
1115.86,16,19
764.48,14,20
427.35,12,19
436.25,2,24
237.42,18,21
737.93,12,30
949.67,12,18
320.13,12,4
339.51,12,15
534.19,12,11
569.8,14,39
332.38,16,14
261.16,14,10
379.87,12,9
439.22,9,10
641.03,18,15
379.87,16,11
522.32,12,24
332.38,11,2
332.38,12,44
142.45,12,1
197.53,13,19
332.38,13,5
759.73,12,38
261.16,13,12
427.35,12,16
330.01,12,14
1115.86,16,24
925.93,17,29
320.51,12,2
1139.6,12,28
759.73,14,22
287.04,14,0
222.22,12,0
617.28,11,15
423.17,12,19
830.96,12,27
415.48,12,12
854.7,12,8
405.03,12,13
676.64,13,32
641.03,12,10
604.49,12,35
593.54,8,41
317.92,13,21
59.35,17,13
759.73,18,8
653.89,18,15
427.35,13,12
712.25,13,26
396.83,15,-1
735.99,17,19
366.26,13,22
2374.15,18,15
229.39,13,1
883.19,15,22
902.18,12,8
617.28,15,4
460.75,17,4
474.83,18,9
427.35,18,3
1022.01,13,33
474.83,16,13
432.1,12,6
440.95,10,44
619.66,16,15
451.09,14,5
427.35,12,22
498.58,12,2
427.35,12,11
327.43,12,25
474.83,14,22
735.99,12,24
97.34,12,3
356.13,14,34
332.38,12,38
932.41,15,38
728.87,16,13
293.94,9,22
498.58,12,16
1646.09,13,20
189.93,14,29
628.32,16,19
866.57,12,22
163.58,12,0
189.93,12,4
403.61,14,10
433.51,12,22
532.56,12,12
427.35,12,21
700.38,12,7
1353.28,16,25
379.87,12,7
666.67,18,4
664.77,16,11
692.78,12,26
2374.15,18,24
949.67,16,6
1899.34,14,22
1424.5,17,29
1661.92,16,20
1756.89,17,19
830.96,11,47
900.21,18,6
949.67,18,10
332.38,16,1
344.25,7,40
277.78,12,36
1020.89,14,29
1080.25,12,35
830.96,16,11
474.83,16,42
360.08,18,25
1127.21,12,12
807.22,18,8
296.3,16,15
356.13,17,4
261.16,12,5
569.8,12,28
2136.75,18,17
1163.34,18,18
403.61,16,4
2018.04,18,9
902.18,16,9
388.62,18,6
1590.69,16,18
1946.82,16,15
451.09,12,5
949.67,18,32
415.48,16,14
712.25,8,48
359.26,12,11
546.06,11,11
452.67,12,2
168.83,18,43
902.18,15,15
830.96,18,26
593.54,13,13
462.96,12,30
919.36,9,33
522.32,14,6
997.15,14,23
451.09,12,33
1522.63,16,20
427.35,12,9
740.74,16,5
326.97,4,32
783.48,12,33
522.32,17,33
1543.21,18,9
1044.63,14,8
949.67,18,15
546.06,10,40
1032.76,18,10
997.15,18,19
759.73,12,28
712.25,12,21
1661.92,16,11
1661.92,18,16
830.96,13,8
709.07,17,7
939.35,10,21
759.73,18,26
332.38,9,50
735.99,16,7
474.83,17,11
997.15,12,12
456.79,12,27
356.13,12,12
1139.6,14,29
284.9,15,-1
356.13,9,41
446.13,12,43
546.06,15,2
379.87,12,3
189.93,13,-1
759.73,15,11
493.83,12,42
610.16,18,17
1187.08,12,15
712.25,12,38
1068.38,13,30
474.83,16,2
289.65,13,1
244.54,12,3
895.06,16,38
522.32,12,33
94.97,10,2
261.16,12,23
617.28,15,-1
902.18,18,23
830.96,5,45
783.48,14,17
740.74,16,6
395.06,14,1
664.77,16,33
949.67,16,18
1305.79,18,11
427.35,10,27
641.03,15,7
617.28,18,7
569.8,9,48
116.33,18,32
617.28,14,11
854.7,16,4
949.67,12,17
735.99,12,18
759.73,16,4
782.29,16,16
1080.25,13,24
712.25,12,23
432.1,13,16
593.54,11,13
925.93,12,42
807.22,14,40
641.03,12,4
712.25,18,29
877.97,18,33
284.9,12,4
664.77,12,27
427.35,12,12
474.83,16,5
1009.02,13,22
362.35,14,0
378.86,13,-1
712.25,18,16
593.54,15,37
474.83,12,11
641.03,18,3
550.81,13,5
403.61,12,12
854.7,12,33
1068.38,16,13
1305.79,16,10
688.51,16,19
411.52,14,23
1187.08,16,28
2374.15,18,16
2374.15,16,18
593.54,12,16
902.18,14,16
1020.89,14,10
1590.69,18,12
2374.15,18,25
293.21,14,0
866.57,18,14
1685.66,18,16
830.96,16,13
370.37,16,5
857.08,12,34
593.54,12,44
830.96,12,26
759.73,13,10
261.16,8,50
830.96,16,17
807.22,2,34
322.89,0,50
878.44,13,24
370.37,14,0
854.7,16,10
284.9,12,6
284.9,12,12
712.25,8,42
273.03,15,11
284.9,12,1
830.96,12,24
925.93,12,6
546.06,9,45
1780.63,18,23
1780.63,16,31
1234.57,12,13
246.91,12,7
641.03,13,12
274.69,17,7
688.51,10,16
356.13,13,41
593.54,12,15
688.51,18,7
783.48,18,29
902.18,18,7
1305.79,12,9
783.48,12,13
878.44,14,27
522.32,12,4
442.83,12,1
578.7,16,8
949.67,18,10
1163.34,18,6
830.96,14,11
546.06,12,9
1068.38,16,9
593.54,12,29
196.41,13,3
712.25,12,10
949.67,16,10
878.44,16,5
747.86,16,2
997.15,16,4
854.7,12,15
712.25,18,6
783.48,14,32
296.3,13,3
432.1,12,9
673.12,13,18
260.63,16,8
830.96,12,4
1210.83,18,14
878.44,18,5
1187.08,16,42
59.35,14,41
688.51,12,5
688.51,12,16
1020.89,16,14
1424.5,18,17
356.13,16,2
1163.34,18,10
1139.6,18,11
742.57,8,37
1020.89,16,10
874.49,14,14
864.2,12,31
555.56,14,2
617.28,13,0
617.28,13,0
902.18,15,23
724.12,12,16
617.28,15,4
593.54,12,6
878.44,18,28
493.83,15,35
1162.99,15,19
561.17,15,27
1068.38,14,24
949.67,18,33
1044.63,18,11
641.03,12,6
712.25,16,44
370.37,12,26
1424.5,16,13
617.28,18,9
435.51,12,51
522.32,12,30
870.44,18,21
1187.08,14,27
409.65,14,0
1471.98,12,22
878.44,18,14
2374.15,18,36
593.54,12,12
759.73,12,36
144.03,12,0
726.22,5,47
427.35,12,11
593.54,14,13
370.37,12,33
724.12,13,11
1092.12,18,37
1388.89,18,21
569.71,12,21
522.32,12,36
356.13,12,5
522.32,11,14
493.83,13,8
854.7,13,15
548.7,13,24
616.1,12,37
949.67,17,28
1424.5,18,18
949.67,12,31
1068.38,17,13
1139.6,18,45
1661.92,18,18
1187.08,18,27
949.67,12,41
949.67,18,15
797.72,17,21
890.31,12,41
1092.12,16,18
189.93,12,12
569.8,12,43
1590.69,16,15
569.8,16,4
712.25,16,7
510.45,16,5
1139.6,14,17
949.67,18,9
830.96,12,29
593.54,12,16
346.63,15,10
1424.5,16,19
313.39,13,14
427.35,15,3
370.37,12,45
474.83,16,1
959.16,16,10
830.96,18,4
168.72,16,0
783.48,16,25
2456.79,17,13
1068.38,17,40
795.61,11,19
378.09,18,1
735.99,16,4
712.25,17,45
237.42,12,12
712.25,10,32
593.54,12,7
2057.61,16,27
1305.79,16,15
555.56,8,19
652.9,12,10
949.67,12,24
712.25,15,8
427.35,12,10
368,11,48
522.32,13,20
807.22,18,17
617.28,7,6
712.25,14,18
949.67,16,9
617.28,14,38
590.45,10,28
467.51,12,37
297.04,12,0
474.83,12,0
1590.69,18,40
1020.89,16,22
1543.21,18,18
308.64,12,3
688.51,12,22
795.35,16,19
1046.77,14,39
712.25,15,8
546.06,12,23
2136.75,18,32
1424.5,18,10
1211.18,18,17
1424.5,14,11
617.28,12,13
949.67,12,22
484.14,12,32
1377.02,17,8
712.25,16,9
664.77,12,5
415.48,12,10
739.55,16,6
949.67,12,28
798.84,15,8
474.83,12,27
902.18,14,38
474.83,12,6
2374.15,18,36
1265.43,18,2
664.77,14,8
546.06,12,37
1014.25,13,13
939.35,16,11
498.58,12,5
427.35,12,1
949.67,16,29
1543.21,18,15
246.91,14,-1
370.37,12,8
1661.92,18,23
1780.63,18,11
469.14,12,18
735.99,15,5
949.67,14,12
679.01,16,18
949.67,12,41
1543.21,18,7
1187.08,18,7
273.03,18,5
1424.5,16,36
1305.79,16,31
712.25,12,31
308.64,12,4
344.25,10,8
270.66,6,25
365.62,13,3
237.42,12,40
2374.15,18,39
830.96,12,19
284.9,13,11
516.83,13,7
2374.15,16,17
1139.6,14,25
1780.63,17,21
1543.21,16,17
377.91,16,23
593.54,16,39
1115.86,17,17
1471.98,18,27
474.83,12,17
2374.15,18,25
213.68,12,2
308.64,12,15
356.13,15,3
641.03,16,5
427.35,18,6
235.04,18,24
546.06,12,9
546.06,12,12
173.31,12,12
415.48,9,37
572.86,12,32
444.44,12,39
664.77,15,8
639.7,14,9
925.93,14,16
1305.79,16,29
593.54,12,40
1899.34,9,40
830.96,16,47
254.32,12,7
546.06,12,11
527.07,12,9
712.25,12,29
759.73,18,10
123.46,10,8
411.52,13,4
664.77,12,43
783.48,14,24
900.21,12,45
557.6,13,4
759.73,12,7
346.63,8,42
522.32,12,10
712.25,14,20
925.93,12,36
522.32,18,26
878.44,12,14
304.57,10,19
937.8,12,19
878.44,12,11
557.93,12,31
878.44,16,15
324.05,12,8
586.42,12,18
600.64,12,35
356.13,12,3
939.93,11,21
474.83,10,19
593.54,14,9
701.23,14,37
949.67,12,25
370.37,15,0
664.77,12,17
534.19,11,15
664.77,12,10
360.08,14,16
664.77,14,10
1114.67,18,12
671.89,16,5
569.8,13,8
611.11,8,48
395.06,12,16
358.07,12,4
949.67,12,33
866.57,12,8
949.67,17,6
474.83,12,13
2374.15,10,31
268.57,12,8
569.8,12,44
206.55,13,5
830.96,12,7
569.8,18,16
949.67,18,33
617.28,12,39
382.72,12,10
166.19,18,36
629.15,12,44
451.09,14,47
735.99,17,17
712.25,18,4
679.01,12,47
444.44,12,13
712.25,8,25
976.97,13,18
1092.12,12,21
949.67,9,42
670.18,13,9
605.32,11,21
1187.08,14,36
807.22,15,15
1068.38,17,13
1234.57,13,11
830.96,17,18
474.83,13,8
1992.59,17,29
688.51,10,25
569.8,12,22
902.18,16,25
1187.08,12,25
1353.28,11,3
498.58,14,17
629.15,15,15
1083.21,14,12
237.42,17,-4
356.13,18,-2
712.25,12,18
508.35,8,36
691.36,9,29
353.28,12,2
569.8,13,0
474.83,12,8
385.8,8,9
332.38,12,2
1187.08,16,8
949.38,17,11
949.67,10,26
1661.92,18,14
2136.75,18,13
1414.61,16,6
830.96,13,26
712.25,16,7
759.73,12,13
933.71,17,8
522.32,17,9
308.64,12,34
534.19,10,45
593.54,14,5
593.54,12,14
854.7,15,12
1214.41,18,30
1153.3,18,17
302.47,6,33
238.68,9,8
807.22,16,15
1258.31,18,35
569.8,12,37
949.67,14,26
246.91,13,0
771.6,16,11
734.43,18,4
808.57,10,39
569.8,12,9
419.75,7,53
522.32,12,9
735.99,12,12
1115.86,13,47
949.67,18,31
857.29,16,34
592.59,6,49
679.01,12,17
498.58,12,14
2374.15,18,26
617.28,12,36
735.99,10,35
356.13,12,2
199.43,16,2
543.21,12,24
511.27,15,17
994.78,16,18
593.54,16,5
1234.57,18,28
688.51,12,20
252.4,4,38
1154.05,16,15
664.77,16,19
237.42,12,5
370.37,12,22
593.54,16,6
712.25,16,7
246.91,13,6
664.77,14,1
569.8,14,1
759.73,16,18
705.13,13,36
973.41,8,46
569.8,12,12
712.25,16,8
759.73,12,15
1111.11,12,34
657.64,16,18
925.93,12,26
593.54,12,27
712.25,12,7
356.13,12,3
936.57,16,5
688.51,12,20
693.26,12,10
1661.92,18,10
641.03,14,17
1063.1,12,7
1242.88,13,24
1258.31,17,11
118.71,16,6
593.54,12,29
712.25,15,1
664.77,18,28
617.28,11,10
486.7,12,19
417.85,12,9
686.13,16,24
664.77,14,33
569.8,11,18
498.58,14,8
949.67,18,39
498.58,14,4
196.32,12,5
1353.28,14,28
546.06,16,24
954.42,16,7
1424.5,12,24
854.7,16,21
1851.85,12,18
546.06,9,30
451.09,12,4
735.99,12,24
522.32,12,9
925.93,18,5
1012.35,18,24
534.19,14,16
520.46,13,12
881.83,11,31
1424.5,12,34
230.29,12,0
1139.6,18,28
617.28,12,17
830.96,12,45
432.1,11,19
830.96,14,23
73.6,16,34
1685.66,16,15
417.85,12,7
593.54,12,8
830.96,18,19
189.93,15,-1
1187.08,14,38
427.35,14,7
617.28,12,35
296.3,12,5
949.67,15,21
925.93,12,9
759.73,14,24
664.77,12,15
403.61,14,39
1305.79,18,33
486.7,13,5
540.12,12,4
451.09,12,10
593.54,12,33
866.57,12,19
2374.15,18,12
902.18,14,19
854.7,12,8
379.87,12,27
403.61,12,3
507.98,12,22
712.25,14,11
284.9,16,11
303.89,12,7
405.03,16,41
546.06,13,4
902.18,12,22
641.03,12,26
320.51,12,33
712.25,16,7
1187.08,14,22
246.91,4,36
481.96,12,3
593.54,12,9
498.58,13,39
783.48,11,14
664.77,13,4
617.28,16,4
830.96,18,5
593.54,12,31
688.51,8,26
688.51,12,20
333.33,15,0
735.99,12,25
998.39,16,13
546.06,14,8
664.77,9,31
462.96,12,13
542.88,14,28
373.96,15,3
759.73,12,16
427.35,16,15
593.54,11,10
379.87,10,11
237.42,12,15
1004.27,12,22
1661.92,18,24
546.06,16,2
237.42,5,21
997.15,16,19
688.51,12,18
759.73,16,19
741.41,14,14
403.61,9,48
439.01,16,12
757.58,14,14
308.4,12,48
403.61,12,12
1756.89,18,12
1305.79,16,37
514.4,12,8
304.42,3,18
795.35,12,23
417.85,9,8
1246.44,18,17
949.67,16,28
411.52,15,-1
1234.57,18,11
279.63,12,5
345.68,16,-1
633.62,12,40
560.3,16,5
1020.89,16,25
525.88,0,38
1226.05,12,40
864.2,13,13
578.7,18,3
712.94,10,31
1163.34,13,18
888.89,12,34
2041.79,18,22
270.06,12,2
569.8,16,10
617.28,13,16
735.99,11,24
504.32,12,43
493.83,14,0
783.48,18,37
2374.15,16,46
1187.08,16,29
189.93,13,1
830.96,18,15
641.03,16,21
686.89,12,16
129.2,12,9
546.06,12,16
767.43,17,6
474.83,18,5
949.67,14,18
807.22,16,13
1187.08,14,24
783.48,12,24
712.25,12,27
379.87,12,40
522.32,12,40
268.66,12,5
830.96,12,16
830.96,14,31
688.51,16,6
688.51,16,8
447.19,12,11
864.2,14,24
522.32,12,38
720.16,14,0
301.11,7,42
795.35,12,13
189.93,12,2
973.41,14,18
1305.79,18,24
1068.38,18,23
410.57,12,5
712.25,14,33
1139.6,14,35
546.06,16,2
308.64,14,9
534.19,18,19
771.6,16,2
1160.49,11,49
949.67,16,24
522.32,13,13
593.54,12,25
949.67,14,12
902.18,18,17
783.48,14,19
712.25,12,7
396.83,12,6
1092.12,16,10
925.93,8,43
1543.21,16,30
246.91,16,-1
356.13,15,15
643,12,14
534.19,10,48
379.87,12,4
498.58,12,30
949.67,14,29
474.83,9,15
296.3,9,8
131.28,10,4
914.06,13,18
546.06,16,14
854.7,12,37
180.04,12,3
664.77,8,10
641.03,12,9
368,12,19
495.88,15,-1
735.99,9,30
283.95,12,4
166.4,17,7
1780.63,16,23
1044.63,18,28
925.93,12,43
246.91,2,49
451.09,12,3
902.18,13,5
523.5,12,5
783.48,16,3
213.68,12,8
641.03,8,33
652.9,16,4
446.34,12,8
712.25,16,14
1200.27,18,21
240.55,8,15
1068.38,13,16
949.67,12,33
1068.38,16,17
345.68,12,1
830.96,18,20
370.37,14,27
444.44,12,2
322.89,9,37
641.03,12,22
522.32,12,8
158.28,14,20
888.89,12,19
712.25,14,42
949.67,14,43
861.33,17,13
973.41,17,20
427.35,8,31
308.64,12,2
939.35,11,24
498.58,12,30
569.8,16,23
379.87,0,49
344.73,8,4
404.98,14,17
522.32,12,9
593.54,12,11
949.67,12,34
59.35,12,1
833.33,12,41
474.83,12,6
2374.15,16,31
854.7,12,39
432.1,10,34
427.35,10,41
781.1,14,11
522.32,12,18
216.05,10,4
830.96,16,3
546.06,12,12
118.71,12,20
593.54,12,16
293.21,9,16
343.83,17,1
246.91,16,13
1780.63,18,25
814.81,10,18
118.71,9,12
385.8,12,2
1187.08,16,28
735.99,14,9
474.83,12,40
664.77,14,19
246.91,12,12
997.15,12,27
451.09,12,4
830.96,14,10
683.76,9,46
617.28,12,11
164.2,10,25
142.45,3,16
403.61,12,41
735.99,12,25
227.92,12,2
712.25,13,14
546.74,12,28
379.87,10,44
747.86,13,18
1066.69,18,44
1175.78,18,28
1495.73,10,8
555.56,9,20
617.28,12,33
444.44,12,5
1139.6,17,27
451.09,12,11
474.83,12,9
747.86,12,19
1234.57,18,20
344.68,13,11
593.54,16,31
356.13,12,6
358.02,12,3
949.67,12,38
712.25,13,13
481.96,8,30
633.9,13,26
740.74,11,42
583.33,12,41
246.91,13,6
1020.89,13,7
332.38,8,31
546.06,16,13
170.29,10,47
688.51,12,17
237.42,12,38
213.68,12,15
498.58,16,7
636.57,12,5
403.61,10,4
1305.79,18,17
2374.15,12,16
830.96,12,24
1102.33,16,32
463.59,12,8
712.25,14,4
759.73,12,10
688.51,16,9
546.06,12,15
427.35,12,41
137.17,15,2
308.64,14,9
1383.5,12,40
412.69,12,10
656.93,12,6
1282.05,16,23
902.18,15,36
427.35,14,6
451.09,18,8
462.96,12,13
617.28,14,6
676.64,14,15
747.86,12,14
795.35,16,34
712.25,13,18
586.42,16,1
1780.63,16,14
1424.5,12,36
1115.86,16,23
925.93,16,12
474.83,16,34
546.06,12,22
641.03,18,20
806.25,16,10
1412.63,18,14
617.28,12,40
308.64,12,48
308.64,12,15
1519.47,18,16
821.46,18,15
379.87,14,21
356.13,1,50
3793.83,14,6
